Date,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
05/27/2019,517.0,364.0,971.0,1184.0,1135.0,1024.0,904.0
05/28/2019,517.0,364.0,1664.0,1460.0,1614.0,1106.0,876.0
05/29/2019,517.0,364.0,1462.0,1766.0,1929.0,1274.0,846.0
05/30/2019,517.0,364.0,1435.0,1656.0,1626.0,1228.0,894.0
05/31/2019,517.0,364.0,1485.0,1613.0,1704.0,1184.0,927.0
06/01/2019,517.0,364.0,1093.0,1272.0,1434.0,1169.0,938.0
06/02/2019,517.0,364.0,906.0,1203.0,1302.0,991.0,923.0
06/03/2019,517.0,364.0,1522.0,1445.0,1639.0,1085.0,955.0
06/04/2019,517.0,364.0,1599.0,1614.0,1817.0,1209.0,1009.0
06/05/2019,517.0,364.0,1565.0,1589.0,1669.0,1199.0,970.0
06/06/2019,517.0,364.0,1610.0,1844.0,1848.0,1281.0,886.0
06/07/2019,517.0,364.0,1591.0,1574.0,1875.0,1315.0,921.0
06/08/2019,517.0,364.0,1221.0,1564.0,1582.0,1283.0,1010.0
06/09/2019,517.0,364.0,1124.0,1400.0,1345.0,1112.0,985.0
06/10/2019,517.0,364.0,1954.0,1700.0,2440.0,1197.0,975.0
06/11/2019,517.0,364.0,1595.0,1671.0,2033.0,1211.0,945.0
06/12/2019,517.0,364.0,1757.0,2036.0,2069.0,1493.0,889.0
06/13/2019,517.0,364.0,1648.0,1987.0,2162.0,1337.0,1056.0
06/14/2019,517.0,364.0,1728.0,1847.0,2008.0,1381.0,999.0
06/15/2019,517.0,364.0,1162.0,1608.0,1610.0,1385.0,1009.0
06/16/2019,517.0,364.0,880.0,1536.0,1489.0,1113.0,960.0
06/17/2019,517.0,364.0,1837.0,1609.0,1926.0,1166.0,972.0
06/18/2019,517.0,364.0,1582.0,1823.0,2100.0,1240.0,822.0
06/19/2019,517.0,364.0,1651.0,1824.0,2002.0,1260.0,948.0
06/20/2019,517.0,364.0,1665.0,1911.0,1928.0,1450.0,965.0
06/21/2019,517.0,364.0,1570.0,1680.0,1947.0,1323.0,1031.0
06/22/2019,517.0,364.0,1153.0,1521.0,1476.0,1321.0,1005.0
06/23/2019,517.0,364.0,863.0,1485.0,1323.0,1064.0,973.0
06/24/2019,517.0,364.0,1721.0,1683.0,1818.0,1184.0,933.0
06/25/2019,517.0,364.0,1636.0,1739.0,2040.0,1219.0,986.0
06/26/2019,517.0,364.0,1907.0,1768.0,2032.0,1296.0,879.0
06/27/2019,517.0,364.0,1744.0,1922.0,2092.0,1426.0,945.0
06/28/2019,517.0,364.0,1768.0,1831.0,2003.0,1299.0,942.0
06/29/2019,517.0,364.0,1102.0,1675.0,1503.0,1383.0,943.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
06/30/2019,517.0,364.0,919.0,1471.0,1365.0,1144.0,978.0
07/01/2019,517.0,364.0,1637.0,1668.0,1768.0,1084.0,955.0
07/02/2019,517.0,364.0,1696.0,1743.0,1958.0,1288.0,918.0
07/03/2019,517.0,364.0,1743.0,1920.0,2070.0,1259.0,907.0
07/04/2019,517.0,364.0,1652.0,2096.0,2075.0,1373.0,883.0
07/05/2019,517.0,364.0,1535.0,2038.0,2053.0,1465.0,1052.0
07/06/2019,517.0,364.0,1519.0,2091.0,2075.0,1668.0,959.0
07/07/2019,517.0,364.0,957.0,1723.0,1460.0,1205.0,992.0
07/08/2019,517.0,364.0,1575.0,1609.0,1745.0,1131.0,919.0
07/09/2019,517.0,364.0,1666.0,1861.0,1776.0,1273.0,822.0
07/10/2019,517.0,364.0,1573.0,1806.0,2000.0,1339.0,909.0
07/11/2019,517.0,364.0,1759.0,1935.0,1994.0,1425.0,923.0
07/12/2019,517.0,364.0,1688.0,1841.0,1962.0,1547.0,961.0
07/13/2019,517.0,364.0,1103.0,1760.0,1679.0,1580.0,944.0
07/14/2019,517.0,364.0,981.0,1682.0,1508.0,1269.0,908.0
07/15/2019,517.0,364.0,1611.0,1888.0,1797.0,1151.0,904.0
07/16/2019,517.0,364.0,1778.0,1826.0,1893.0,1248.0,878.0
07/17/2019,517.0,364.0,1635.0,1785.0,2049.0,1258.0,910.0
07/18/2019,517.0,364.0,1812.0,1842.0,2035.0,1319.0,847.0
07/19/2019,517.0,364.0,1701.0,1791.0,2034.0,1313.0,957.0
07/20/2019,517.0,364.0,1033.0,1530.0,1640.0,1310.0,1017.0
07/21/2019,517.0,364.0,1098.0,1589.0,1516.0,1179.0,1038.0
07/22/2019,517.0,364.0,1450.0,1599.0,1663.0,1175.0,914.0
07/23/2019,517.0,364.0,1582.0,1689.0,1778.0,1244.0,868.0
07/24/2019,517.0,364.0,1590.0,1693.0,1916.0,1368.0,892.0
07/25/2019,517.0,364.0,1754.0,1766.0,2030.0,1340.0,907.0
07/26/2019,517.0,364.0,1651.0,1940.0,1810.0,1317.0,954.0
07/27/2019,517.0,364.0,1104.0,1502.0,1327.0,1251.0,961.0
07/28/2019,517.0,364.0,879.0,1395.0,1242.0,1094.0,914.0
07/29/2019,517.0,364.0,1693.0,1524.0,1588.0,1133.0,981.0
07/30/2019,517.0,364.0,1507.0,1667.0,1882.0,1159.0,927.0
07/31/2019,517.0,364.0,1558.0,1591.0,1628.0,1298.0,912.0
08/01/2019,517.0,364.0,1447.0,1643.0,1625.0,1276.0,951.0
08/02/2019,517.0,364.0,1419.0,1560.0,1625.0,1274.0,986.0
08/03/2019,517.0,364.0,1042.0,1451.0,1482.0,1211.0,909.0
08/04/2019,517.0,364.0,1020.0,1445.0,1344.0,1103.0,937.0
08/05/2019,517.0,364.0,1926.0,1390.0,1564.0,1088.0,882.0
08/06/2019,517.0,364.0,1417.0,1525.0,1484.0,1135.0,843.0
08/07/2019,517.0,364.0,1564.0,1563.0,1683.0,1229.0,789.0
08/08/2019,517.0,364.0,1491.0,1739.0,1699.0,1250.0,911.0
08/09/2019,517.0,364.0,1416.0,1718.0,1532.0,1338.0,1012.0
08/10/2019,517.0,364.0,979.0,1469.0,1391.0,1164.0,939.0
08/11/2019,517.0,364.0,1074.0,1267.0,1178.0,1251.0,921.0
08/12/2019,517.0,364.0,1442.0,1496.0,1410.0,1121.0,1071.0
08/13/2019,517.0,364.0,1561.0,1509.0,1448.0,1212.0,935.0
08/14/2019,517.0,364.0,1489.0,1850.0,1800.0,1218.0,876.0
08/15/2019,517.0,364.0,1426.0,1646.0,1679.0,1350.0,928.0
08/16/2019,517.0,364.0,1556.0,1936.0,1618.0,1313.0,992.0
08/17/2019,517.0,364.0,1032.0,1486.0,1428.0,1213.0,938.0
08/18/2019,517.0,364.0,949.0,1495.0,1320.0,1181.0,924.0
08/19/2019,517.0,364.0,1485.0,1568.0,1493.0,1123.0,1037.0
08/20/2019,517.0,364.0,1500.0,1612.0,1545.0,1245.0,891.0
08/21/2019,517.0,364.0,1520.0,1553.0,1568.0,1200.0,892.0
08/22/2019,517.0,364.0,1516.0,1658.0,1689.0,1173.0,921.0
08/23/2019,517.0,364.0,1410.0,1695.0,1658.0,1263.0,991.0
08/24/2019,517.0,364.0,1058.0,1295.0,1285.0,1205.0,987.0
08/25/2019,517.0,364.0,875.0,1330.0,1213.0,1132.0,916.0
08/26/2019,517.0,364.0,1011.0,1393.0,1231.0,1130.0,990.0
08/27/2019,517.0,364.0,1866.0,2153.0,1970.0,1297.0,1014.0
08/28/2019,517.0,364.0,1651.0,1550.0,1662.0,1316.0,943.0
08/29/2019,517.0,364.0,1595.0,1644.0,1700.0,1377.0,875.0
08/30/2019,517.0,364.0,1384.0,1791.0,1667.0,1264.0,956.0
08/31/2019,517.0,364.0,1016.0,1558.0,1510.0,1394.0,897.0
09/01/2019,517.0,364.0,892.0,1437.0,1325.0,1134.0,923.0
09/02/2019,517.0,364.0,1625.0,1628.0,1550.0,1134.0,933.0
09/03/2019,517.0,364.0,1587.0,1608.0,1637.0,1245.0,881.0
09/04/2019,517.0,364.0,1682.0,1733.0,1758.0,1216.0,1015.0
09/05/2019,517.0,364.0,1639.0,1831.0,1789.0,1280.0,947.0
09/06/2019,517.0,364.0,1662.0,1608.0,1726.0,1247.0,942.0
09/07/2019,517.0,364.0,1147.0,1564.0,1425.0,1308.0,967.0
09/08/2019,517.0,364.0,913.0,1388.0,1277.0,1094.0,961.0
09/09/2019,517.0,364.0,1702.0,1556.0,1619.0,1144.0,876.0
09/10/2019,517.0,364.0,2040.0,2003.0,1801.0,1172.0,908.0
09/11/2019,517.0,364.0,1760.0,1637.0,1809.0,1258.0,877.0
09/12/2019,517.0,364.0,1877.0,2116.0,2160.0,1382.0,905.0
09/13/2019,517.0,364.0,1965.0,2069.0,2151.0,1414.0,952.0
09/14/2019,517.0,364.0,1081.0,1844.0,1626.0,1488.0,954.0
09/15/2019,517.0,364.0,1002.0,1808.0,1428.0,1216.0,949.0
09/16/2019,517.0,364.0,1808.0,1669.0,1961.0,1216.0,939.0
09/17/2019,517.0,364.0,1791.0,1994.0,1978.0,1229.0,864.0
09/18/2019,517.0,364.0,1855.0,1800.0,2081.0,1250.0,810.0
09/19/2019,517.0,364.0,1851.0,1982.0,1893.0,1315.0,851.0
09/20/2019,517.0,364.0,1732.0,1930.0,2067.0,1386.0,927.0
09/21/2019,517.0,364.0,1059.0,1643.0,1488.0,1438.0,938.0
09/22/2019,517.0,364.0,961.0,1393.0,1374.0,1145.0,992.0
09/23/2019,517.0,364.0,1780.0,1741.0,1759.0,1177.0,914.0
09/24/2019,517.0,364.0,2066.0,1988.0,2015.0,1359.0,1008.0
09/25/2019,517.0,364.0,1989.0,1929.0,1947.0,1346.0,916.0
09/26/2019,517.0,364.0,1802.0,1861.0,2021.0,1284.0,941.0
09/27/2019,517.0,364.0,1567.0,1813.0,2173.0,1368.0,909.0
09/28/2019,517.0,364.0,969.0,1534.0,1523.0,1395.0,926.0
09/29/2019,517.0,364.0,943.0,1685.0,1431.0,1120.0,936.0
09/30/2019,517.0,364.0,1502.0,1974.0,1603.0,1235.0,860.0
10/01/2019,517.0,364.0,1621.0,2088.0,2082.0,1341.0,880.0
10/02/2019,517.0,364.0,1868.0,1920.0,2256.0,1405.0,867.0
10/03/2019,517.0,364.0,1481.0,2026.0,2033.0,1573.0,881.0
10/04/2019,517.0,364.0,1741.0,1984.0,1945.0,1411.0,954.0
10/05/2019,517.0,364.0,1031.0,1776.0,1479.0,1504.0,972.0
10/06/2019,517.0,364.0,909.0,1591.0,1362.0,1118.0,999.0
10/07/2019,517.0,364.0,1592.0,1769.0,1808.0,1127.0,954.0
10/08/2019,517.0,364.0,1682.0,1796.0,1871.0,1229.0,865.0
10/09/2019,517.0,364.0,1754.0,1693.0,1623.0,1256.0,920.0
10/10/2019,517.0,364.0,1701.0,2105.0,1836.0,1425.0,829.0
10/11/2019,517.0,364.0,1677.0,1833.0,1909.0,1557.0,1038.0
10/12/2019,517.0,364.0,1091.0,1849.0,1639.0,1480.0,1049.0
10/13/2019,517.0,364.0,1124.0,1541.0,1639.0,1159.0,1042.0
10/14/2019,517.0,364.0,1770.0,1580.0,1634.0,1239.0,1028.0
10/15/2019,517.0,364.0,1716.0,1777.0,2078.0,1333.0,918.0
10/16/2019,517.0,364.0,1823.0,1833.0,2161.0,1362.0,877.0
10/17/2019,517.0,364.0,1551.0,1909.0,1921.0,1452.0,915.0
10/18/2019,517.0,364.0,1674.0,1717.0,1778.0,1357.0,997.0
10/19/2019,517.0,364.0,962.0,1368.0,1899.0,1237.0,942.0
10/20/2019,517.0,364.0,833.0,1405.0,1429.0,1119.0,999.0
10/21/2019,517.0,364.0,1646.0,1454.0,1747.0,1122.0,892.0
10/22/2019,517.0,364.0,1492.0,1515.0,1677.0,1184.0,851.0
10/23/2019,517.0,364.0,1436.0,1598.0,1588.0,1275.0,821.0
10/24/2019,517.0,364.0,1524.0,1485.0,1777.0,1313.0,897.0
10/25/2019,517.0,364.0,1451.0,1699.0,1859.0,1318.0,941.0
10/26/2019,517.0,364.0,969.0,1651.0,1440.0,1328.0,978.0
10/27/2019,517.0,364.0,876.0,1574.0,1429.0,1163.0,1002.0
10/28/2019,517.0,364.0,1596.0,1516.0,1697.0,1132.0,858.0
10/29/2019,517.0,364.0,1482.0,1603.0,1647.0,1171.0,866.0
10/30/2019,517.0,364.0,1497.0,1644.0,1701.0,1244.0,841.0
10/31/2019,517.0,364.0,1470.0,1702.0,1688.0,1317.0,944.0
11/01/2019,517.0,364.0,1406.0,1553.0,1529.0,1379.0,1058.0
11/02/2019,517.0,364.0,1081.0,1764.0,1532.0,1275.0,963.0
11/03/2019,517.0,364.0,874.0,1394.0,1385.0,1187.0,929.0
11/04/2019,517.0,364.0,1656.0,1614.0,1529.0,1112.0,905.0
11/05/2019,517.0,364.0,1574.0,1608.0,1741.0,1236.0,933.0
11/06/2019,517.0,364.0,1486.0,1672.0,1599.0,1267.0,887.0
11/07/2019,517.0,364.0,1603.0,1865.0,1717.0,1450.0,932.0
11/08/2019,517.0,364.0,1584.0,1734.0,1683.0,1395.0,970.0
11/09/2019,517.0,364.0,986.0,1614.0,1474.0,1403.0,905.0
11/10/2019,517.0,364.0,989.0,1401.0,1463.0,1069.0,936.0
11/11/2019,517.0,364.0,1543.0,1478.0,1883.0,1160.0,875.0
11/12/2019,517.0,364.0,1717.0,1704.0,1780.0,1259.0,825.0
11/13/2019,517.0,364.0,1773.0,1877.0,1894.0,1309.0,866.0
11/14/2019,517.0,364.0,1660.0,1885.0,1800.0,1398.0,930.0
11/15/2019,517.0,364.0,1559.0,1855.0,1908.0,1427.0,991.0
11/16/2019,517.0,364.0,1025.0,1774.0,1468.0,1437.0,951.0
11/17/2019,517.0,364.0,916.0,1623.0,1509.0,1205.0,933.0
11/18/2019,517.0,364.0,1639.0,1545.0,1640.0,1211.0,866.0
11/19/2019,517.0,364.0,1578.0,1732.0,1651.0,1219.0,843.0
11/20/2019,517.0,364.0,1617.0,2075.0,1817.0,1294.0,866.0
11/21/2019,517.0,364.0,1539.0,1886.0,1651.0,1514.0,858.0
11/22/2019,517.0,364.0,1537.0,1856.0,1751.0,1398.0,982.0
11/23/2019,517.0,364.0,1017.0,2141.0,1427.0,1891.0,1039.0
11/24/2019,517.0,364.0,914.0,1938.0,1428.0,1249.0,1022.0
11/25/2019,517.0,364.0,1431.0,1727.0,1678.0,1189.0,892.0
11/26/2019,517.0,364.0,1540.0,1732.0,1809.0,1335.0,876.0
11/27/2019,517.0,364.0,1594.0,1915.0,1938.0,1405.0,963.0
11/28/2019,517.0,364.0,1696.0,2207.0,1921.0,1737.0,937.0
11/29/2019,517.0,364.0,1506.0,1947.0,2012.0,1587.0,1239.0
11/30/2019,517.0,364.0,1085.0,1952.0,1596.0,1811.0,1044.0
12/01/2019,517.0,364.0,1087.0,1859.0,1565.0,1284.0,1043.0
12/02/2019,517.0,364.0,1716.0,1836.0,2027.0,1404.0,849.0
12/03/2019,517.0,364.0,1818.0,2272.0,1999.0,1561.0,1014.0
12/04/2019,517.0,364.0,1765.0,2090.0,1971.0,1472.0,982.0
12/05/2019,517.0,364.0,1621.0,2058.0,1931.0,1654.0,1128.0
